ControlSet,CacheEntryPosition,Path,LastModifiedTimeUTC,Executed,Duplicate,SourceFile
1,197,C:\Program Files (x86)\VMware\VMware Workstation\vmware.exe,2020-06-04 21:19:56,NA,False,Live Registry
1,198,C:\Users\john\Desktop\Everything\Forensics_tools\EvtxExplorer\EvtxECmd.exe,2021-07-07 17:00:34,NA,False,Live Registry
1,199,C:\Users\john\Desktop\Everything\Forensics_tools\VSCMount\VSCMount.exe,2020-02-06 21:08:28,NA,False,Live Registry
1,200,C:\WINDOWS\system32\consent.exe,2021-07-22 07:50:21,NA,False,Live Registry
1,201,C:\Users\john\Downloads\winprefetchview-x64\WinPrefetchView.exe,2020-02-11 12:18:38,NA,False,Live Registry
1,202,C:\WINDOWS\system32\MusNotificationUx.exe,2021-07-22 07:50:12,NA,False,Live Registry
1,203,C:\Program Files\CCleaner\CCUpdate.exe,2021-05-20 11:37:34,NA,False,Live Registry
1,204,C:\WINDOWS\winsxs\amd64_microsoft-windows-servicingstack_31bf3856ad364e35_10.0.19041.1161_none_7e3076a27c733477\TiWorker.exe,2021-07-15 03:57:58,NA,False,Live Registry
1,205,C:\WINDOWS\system32\MusNotification.exe,2021-07-22 07:50:11,NA,False,Live Registry
1,206,C:\WINDOWS\system32\MRT.exe,2021-08-11 18:34:56,NA,False,Live Registry
1,207,C:\$WinREAgent\Scratch\81BBB960-3294-4EA1-B2F8-7B1B03DC696A\dismhost.exe,2021-07-22 07:50:27,NA,False,Live Registry
1,208,C:\WINDOWS\SoftwareDistribution\Download\Install\Windows-KB890830-x64-V5.92.exe,2021-08-11 18:34:49,NA,False,Live Registry
1,209,C:\Program Files\WindowsApps\king.com.CandyCrushSodaSaga_1.199.200.0_x86__kgqvnymyfvs32\Application,2021-08-11 16:50:59,NA,False,Live Registry
1,210,00000000	000100c700c80000	000a000047ba0000	014c	king.com.CandyCrushSodaSaga	kgqvnymyfvs32	,,NA,False,Live Registry
1,211,00000000	000100c700c80000	000a000047ba0000	8664	king.com.CandyCrushSodaSaga	kgqvnymyfvs32	,,NA,False,Live Registry
